ndc9:0	"総記（類目）"
ndc9:00	"総記（綱目）"
ndc9:000	"総記"
ndc9:002	"知識．学問．学術"
ndc9:002.7	"知識．学問．学術--研究法．調査法"
ndc9:007	"情報科学"
ndc9:007.1	"情報科学--情報理論"
ndc9:007.2	"情報科学--歴史．事情"
ndc9:007.3	"情報科学--情報と社会：情報政策"
ndc9:007.4	"情報科学--情報源"
ndc9:007.5	"情報科学--ドキュメンテーション．情報管理"
ndc9:007.6	"情報科学--データ処理．情報処理"
ndc9:007.7	"情報科学--情報システム：UNISIST，NATIS"
ndc9:01	"図書館．図書館学（綱目）"
ndc9:010	"図書館．図書館学"
ndc9:010.1	"図書館．図書館学--図書館論．図書館と自由"
ndc9:010.6	"（図書館．図書館学--図書館友の会）"
ndc9:010.7	"図書館．図書館学--研究法．指導法．図書館学教育．職員の養成"
ndc9:011	"図書館政策．図書館行財政"
ndc9:011.1	"図書館政策．図書館行財政--図書館行政"
ndc9:011.2	"図書館政策．図書館行財政--図書館法令および基準"
ndc9:011.3	"図書館政策．図書館行財政--図書館計画．図書館相互協力"
ndc9:011.4	"図書館政策．図書館行財政--図書館財政"
ndc9:011.5	"図書館政策．図書館行財政--図書館に対する特典：免税，郵送料割引，運賃割引"
ndc9:011.9	"図書館政策．図書館行財政--国際資料交換"
ndc9:012	"図書館建築．図書館設備"
ndc9:012.1	"図書館建築．図書館設備--建築計画：基礎調査，位置，敷地"
ndc9:012.2	"図書館建築．図書館設備--建築材料および構造"
ndc9:012.3	"図書館建築．図書館設備--建築設計・製図"
ndc9:012.4	"図書館建築．図書館設備--書庫．書架"
ndc9:012.5	"図書館建築．図書館設備--利用者用諸室：閲覧室，児童室，目録室"
ndc9:012.6	"図書館建築．図書館設備--講堂．集会室．展示室．視聴覚室"
ndc9:012.7	"図書館建築．図書館設備--事務室．その他管理部門の諸室"
ndc9:012.8	"図書館建築．図書館設備--図書館設備：衛生設備，機械設備，電気設備"
ndc9:012.9	"図書館建築．図書館設備--図書館用品．図書館備品"
ndc9:013	"図書館管理"
ndc9:013.1	"図書館管理--図書館職員．人事管理"
ndc9:013.2	"図書館管理--図書館の組織．事務分掌．スタッフ マニュアル"
ndc9:013.3	"図書館管理--図書館協議会"
ndc9:013.4	"図書館管理--図書館の予算．経理．物品会計．施設管理"
ndc9:013.5	"図書館管理--図書館の調査．図書館の統計．評価法"
ndc9:013.6	"図書館管理--図書館用品と様式"
ndc9:013.7	"図書館管理--図書館の広報活動"
ndc9:013.8	"図書館管理--図書館事務の機械化"
ndc9:013.9	"図書館管理--利用規程：開館時間，休館日，入館料"
ndc9:014	"資料の収集．資料の整理．資料の保管"
ndc9:014.1	"資料の収集．資料の整理．資料の保管--図書館資料．図書の選択．蔵書構成"
ndc9:014.2	"資料の収集．資料の整理．資料の保管--受入と払出：購入，寄贈，登録，蔵書印"
ndc9:014.3	"資料の収集．資料の整理．資料の保管--目録法"
ndc9:014.4	"資料の収集．資料の整理．資料の保管--分類法．件名標目法．主題分析"
ndc9:014.5	"資料の収集．資料の整理．資料の保管--図書の配架法"
ndc9:014.6	"資料の収集．資料の整理．資料の保管--資料保存．蔵書管理"
ndc9:014.7	"資料の収集．資料の整理．資料の保管--非図書資料．特殊資料"
ndc9:014.8	"資料の収集．資料の整理．資料の保管--政府刊行物"
ndc9:015	"図書館奉仕．図書館活動"
ndc9:015.1	"図書館奉仕．図書館活動--閲覧方式．館内奉仕"
ndc9:015.2	"図書館奉仕．図書館活動--レファレンス サービス［参考業務］"
ndc9:015.3	"図書館奉仕．図書館活動--図書の貸出．貸出記録法"
ndc9:015.4	"図書館奉仕．図書館活動--貸出文庫．団体貸出"
ndc9:015.5	"図書館奉仕．図書館活動--移動図書館．ブックモビル"
ndc9:015.6	"図書館奉仕．図書館活動--読書会．読書運動"
ndc9:015.7	"図書館奉仕．図書館活動--図書館と他の文化機関との協力活動"
ndc9:015.8	"図書館奉仕．図書館活動--図書館の催しもの"
ndc9:016	"各種の図書館"
ndc9:016.1	"各種の図書館--国立図書館"
ndc9:016.2	"各種の図書館--公共図書館"
ndc9:016.3	"各種の図書館--官公庁図書館．議会図書館"
ndc9:016.4	"各種の図書館--団体・企業内の図書館"
ndc9:016.5	"各種の図書館--その他の図書館"
ndc9:016.7	"各種の図書館--メディア センター．視聴覚ライブラリー"
ndc9:016.9	"各種の図書館--貸本屋"
ndc9:017	"学校図書館"
ndc9:017.2	"学校図書館--小学校．学級文庫"
ndc9:017.3	"学校図書館--中学校"
ndc9:017.4	"学校図書館--高等学校"
ndc9:017.6	"学校図書館--短期大学図書館"
ndc9:017.7	"学校図書館--大学図書館"
ndc9:018	"専門図書館"
ndc9:018.4	"（専門図書館--科学技術図書館）"
ndc9:018.7	"（専門図書館--美術図書館）"
ndc9:019	"読書．読書法"
ndc9:019.1	"読書．読書法--読書の心理．読書の生理"
ndc9:019.2	"読書．読書法--読書指導"
ndc9:019.3	"読書．読書法--読書調査"
ndc9:019.4	"読書．読書法--参考図書の利用法"
ndc9:019.5	"読書．読書法--児童・青少年図書．児童・青少年と読書"
ndc9:019.9	"読書．読書法--書評．書評集"
ndc9:02	"図書．書誌学（綱目）"
ndc9:020	"図書．書誌学"
ndc9:020.2	"図書．書誌学--図書および書誌学史"
ndc9:021	"著作．編集"
ndc9:021.2	"著作．編集--著作権．著作権法：版権，翻訳権"
ndc9:021.3	"著作．編集--著述．著作家"
ndc9:021.4	"著作．編集--編集．編纂"
ndc9:021.5	"著作．編集--偽作．剽窃"
ndc9:021.6	"著作．編集--筆禍"
ndc9:022	"写本．刊本．造本"
ndc9:022.2	"写本．刊本．造本--写本：様式，書風"
ndc9:022.3	"写本．刊本．造本--刊本：版式"
ndc9:022.4	"写本．刊本．造本--複製：翻刻，影印，覆刻，模刻"
ndc9:022.5	"写本．刊本．造本--図書の形態．装丁：巻子本，折本，旋風葉，胡蝶装"
ndc9:022.6	"写本．刊本．造本--図書の材料：紙，墨，インキ"
ndc9:022.7	"写本．刊本．造本--印刷"
ndc9:022.8	"写本．刊本．造本--製本：製本史，製本材料，製本技術，修理技術，製本機械，製本器具"
ndc9:023	"出版"
ndc9:023.8	"出版--出版と自由．出版倫理．発禁本．検閲"
ndc9:023.9	"出版--納本制"
ndc9:024	"図書の販売"
ndc9:024.8	"図書の販売--古本．古書店"
ndc9:024.9	"図書の販売--図書の収集．愛書家．蔵書記．蔵書票．蔵書印譜"
ndc9:025	"一般書誌．全国書誌"
ndc9:025.1	"（一般書誌．全国書誌--日本全国書誌）"
