ndc9:1	"哲学（類目）"
ndc9:10	"哲学（綱目）"
ndc9:100	"哲学"
ndc9:101	"哲学理論"
ndc9:102	"哲学史"
ndc9:102.8	"哲学史--哲学者列伝"
ndc9:103	"哲学--参考図書［レファレンス ブック］"
ndc9:104	"哲学--論文集．評論集．講演集"
ndc9:105	"哲学--逐次刊行物"
ndc9:106	"哲学--団体：学会，協会，会議"
ndc9:107	"哲学--研究法．指導法．哲学教育"
ndc9:108	"哲学--叢書．全集．選集"
ndc9:11	"哲学各論（綱目）"
ndc9:110	"哲学各論"
ndc9:111	"形而上学．存在論"
ndc9:111.5	"形而上学．存在論--唯心論"
ndc9:111.6	"形而上学．存在論--唯物論"
ndc9:111.7	"形而上学．存在論--唯名論．名目論"
ndc9:111.8	"形而上学．存在論--実在論．実念論"
ndc9:112	"自然哲学．宇宙論"
ndc9:113	"人生観．世界観"
ndc9:113.1	"人生観．世界観--楽天観"
ndc9:113.2	"人生観．世界観--厭世観．運命論"
ndc9:113.3	"人生観．世界観--ヒューマニズム"
ndc9:113.4	"人生観．世界観--理想主義"
ndc9:113.5	"人生観．世界観--自然主義"
ndc9:113.6	"人生観．世界観--プラグマティズム"
ndc9:113.7	"人生観．世界観--ニヒリズム"
ndc9:114	"人間学"
ndc9:114.2	"人間学--心身論．人性論．生死"
ndc9:114.3	"人間学--生の哲学"
ndc9:114.5	"人間学--実存主義．実存哲学"
ndc9:115	"認識論"
ndc9:115.1	"認識論--観念論"
ndc9:115.2	"認識論--批判主義．先験的観念論"
ndc9:115.3	"認識論--合理主義"
ndc9:115.4	"認識論--実在論．模写説．反映論"
ndc9:115.5	"認識論--経験論．感覚論"
ndc9:115.6	"認識論--新実在論"
ndc9:115.7	"認識論--神秘主義．直観主義"
ndc9:115.8	"認識論--懐疑論．不可知論"
ndc9:116	"論理学．弁証法［弁証法的論理学］．方法論"
ndc9:116.1	"論理学．弁証法［弁証法的論理学］．方法論--形式論理学：三段論法，演繹法，帰納法，類推法"
ndc9:116.3	"論理学．弁証法［弁証法的論理学］．方法論--記号論理学．論理実証主義．分析哲学"
ndc9:116.4	"論理学．弁証法［弁証法的論理学］．方法論--唯物弁証法［弁証法的唯物論］．マルクス主義哲学"
ndc9:116.5	"論理学．弁証法［弁証法的論理学］．方法論--科学方法論"
ndc9:116.6	"論理学．弁証法［弁証法的論理学］．方法論--実証的方法論"
ndc9:116.7	"論理学．弁証法［弁証法的論理学］．方法論--現象学的方法論"
ndc9:116.8	"論理学．弁証法［弁証法的論理学］．方法論--解釈学的方法論"
ndc9:116.9	"論理学．弁証法［弁証法的論理学］．方法論--構造主義"
ndc9:117	"価値哲学"
ndc9:118	"文化哲学．技術哲学"
ndc9:119	"美学"
ndc9:12	"東洋思想（綱目）"
ndc9:120	"東洋思想"
ndc9:120.2	"東洋思想--東洋思想史＜通史＞"
ndc9:121	"日本思想"
ndc9:121.3	"日本思想--古代"
ndc9:121.4	"日本思想--中世"
ndc9:121.5	"日本思想--近世"
ndc9:121.6	"日本思想--近代"
ndc9:122	"中国思想．中国哲学"
ndc9:123	"東洋思想--経書"
ndc9:123.1	"東洋思想--経書--易経．周易"
ndc9:123.2	"東洋思想--経書--書経．尚書"
ndc9:123.3	"東洋思想--経書--詩経．毛詩"
ndc9:123.4	"東洋思想--経書--礼類：周礼，儀礼，礼記，大戴礼"
ndc9:123.5	"東洋思想--経書--楽類"
ndc9:123.6	"東洋思想--経書--春秋類"
ndc9:123.7	"東洋思想--経書--孝経"
ndc9:123.8	"東洋思想--経書--四書"
ndc9:124	"先秦思想．諸子百家"
ndc9:124.1	"先秦思想．諸子百家--儒家．儒教"
ndc9:124.2	"先秦思想．諸子百家--道家．老荘思想"
ndc9:124.3	"先秦思想．諸子百家--墨家．墨子［墨てき］"
ndc9:124.4	"先秦思想．諸子百家--名家"
ndc9:124.5	"先秦思想．諸子百家--法家"
ndc9:124.6	"先秦思想．諸子百家--縦横家：蘇秦，張儀．陰陽家"
ndc9:124.7	"先秦思想．諸子百家--雑家：鬻子，尸佼，鬼谷子，晏嬰，呂不韋，子華子"
ndc9:125	"東洋思想--中世思想．近代思想"
ndc9:125.1	"東洋思想--中世思想．近代思想--両漢時代：董仲舒，劉向，揚雄，桓譚，王充"
ndc9:125.2	"東洋思想--中世思想．近代思想--魏晋南北朝時代：何晏，王弼，葛洪"
ndc9:125.3	"東洋思想--中世思想．近代思想--隋唐時代：王通"
ndc9:125.4	"東洋思想--中世思想．近代思想--宋元時代：周敦頤，邵雍，張載，程こう，程頤，李とう，朱熹，陸九淵"
ndc9:125.5	"東洋思想--中世思想．近代思想--明時代：王守仁"
ndc9:125.6	"東洋思想--中世思想．近代思想--清時代：黄宗羲，顧炎武，康有為"
ndc9:125.9	"東洋思想--中世思想．近代思想--中華民国時代以降：孫文"
ndc9:126	"インド哲学．バラモン教"
ndc9:126.2	"インド哲学．バラモン教--ベーダ"
ndc9:126.3	"インド哲学．バラモン教--ウパニシャッド"
ndc9:126.6	"インド哲学．バラモン教--六派哲学"
ndc9:126.7	"インド哲学．バラモン教--ジャイナ教"
ndc9:126.8	"インド哲学．バラモン教--順世派"
ndc9:126.9	"インド哲学．バラモン教--近代：ヴィヴェーカーナンダ Vivekananda，Swami，1863―1902，ガンジー Gandhi，Mahatma，1869―1948，クリシュナムルティ Krishnamurti，J．（Jiddu），1895―1986，タゴール Tagore，Rabindranath，1869―1948，ラジニーシ Rajneesh，Bhagwan Shree，1931―，ラーマクリシュナ Ramakrishna，1836―1886"
ndc9:129	"その他のアジア・アラブ哲学"
ndc9:129.1	"その他のアジア・アラブ哲学--朝鮮の哲学"
ndc9:129.3	"その他のアジア・アラブ哲学--その他のアジア諸国の哲学"
ndc9:129.7	"その他のアジア・アラブ哲学--アラビア近代哲学"
ndc9:129.8	"その他のアジア・アラブ哲学--ユダヤ近代哲学"
ndc9:13	"西洋哲学（綱目）"
ndc9:130	"西洋哲学"
ndc9:130.2	"西洋哲学--西洋哲学史＜通史＞"
