ndc9:2	"歴史（類目）"
ndc9:20	"歴史（綱目）"
ndc9:200	"歴史"
ndc9:201	"歴史学"
ndc9:201.1	"歴史学--歴史理論．歴史哲学"
ndc9:201.2	"歴史学--史学史"
ndc9:202	"歴史補助学"
ndc9:202.2	"歴史補助学--歴史地理学"
ndc9:202.3	"歴史補助学--年代学．紀年法"
ndc9:202.5	"歴史補助学--考古学"
ndc9:202.7	"歴史補助学--古銭学"
ndc9:202.8	"歴史補助学--金石学：金石文，金石誌"
ndc9:202.9	"歴史補助学--古文書学"
ndc9:203	"歴史--参考図書［レファレンス ブック］"
ndc9:203.2	"（歴史--参考図書［レファレンス ブック］--世界史年表）"
ndc9:203.3	"（歴史--参考図書［レファレンス ブック］--世界史辞典）"
ndc9:203.8	"歴史--参考図書［レファレンス ブック］--歴史地図"
ndc9:204	"歴史--論文集．評論集．講演集"
ndc9:205	"歴史--逐次刊行物"
ndc9:206	"歴史--団体：学会，協会，会議"
ndc9:207	"歴史--研究法．指導法．歴史教育"
ndc9:208	"歴史--叢書．全集．選集"
ndc9:208.8	"（歴史--叢書．全集．選集--史料）"
ndc9:209	"世界史．文化史"
ndc9:209.2	"世界史．文化史--先史時代：石器時代，金属器時代"
ndc9:209.3	"世界史．文化史--古代 ―476"
ndc9:209.4	"世界史．文化史--中世 476―1453"
ndc9:209.5	"世界史．文化史--近代 1453―"
ndc9:209.6	"世界史．文化史--19世紀"
ndc9:209.7	"世界史．文化史--20世紀―"
ndc9:209.8	"（世界史．文化史--世界史--21世紀）"
ndc9:21	"日本史（綱目）"
ndc9:210	"日本史"
ndc9:210.1	"日本史--通史"
ndc9:210.2	"日本史--原始時代"
ndc9:210.3	"日本史--古代 4世紀―1192"
ndc9:210.4	"日本史--中世 1192―1600：前期封建時代，守護制"
ndc9:210.5	"日本史--近世 1600―1868．江戸時代．幕藩体制"
ndc9:210.6	"日本史--近代 1868―．明治時代 1868―1912"
ndc9:210.7	"日本史--昭和・平成時代 1927―"
ndc9:211	"日本史--北海道地方"
ndc9:211.1	"日本史--北海道地方--道北：宗谷支庁，網走支庁［北見国］"
ndc9:211.2	"日本史--北海道地方--道東：根室支庁，釧路支庁［根室国．釧路国］"
ndc9:211.3	"日本史--北海道地方--十勝支庁［十勝国］"
ndc9:211.4	"日本史--北海道地方--上川支庁．日高支庁［日高国］"
ndc9:211.5	"日本史--北海道地方--道央：石狩支庁，空知支庁［石狩国］"
ndc9:211.6	"日本史--北海道地方--道西：留萌支庁［天塩国］"
ndc9:211.7	"日本史--北海道地方--後志支庁．胆振支庁［後志国．胆振国］"
ndc9:211.8	"日本史--北海道地方--道南：渡島支庁，檜山支庁［渡島国］"
ndc9:211.9	"日本史--北海道地方--千島列島［千島国］"
ndc9:212	"日本史--東北地方"
ndc9:212.1	"日本史--東北地方--青森県［陸奥国］"
ndc9:212.2	"日本史--東北地方--岩手県［陸中国］"
ndc9:212.3	"日本史--東北地方--宮城県［陸前国］"
ndc9:212.4	"日本史--東北地方--秋田県［羽後国］"
ndc9:212.5	"日本史--東北地方--山形県［羽前国］"
ndc9:212.6	"日本史--東北地方--福島県［岩代国．磐城国］"
ndc9:213	"日本史--関東地方"
ndc9:213.1	"日本史--関東地方--茨城県［常陸国］"
ndc9:213.2	"日本史--関東地方--栃木県［下野国］"
ndc9:213.3	"日本史--関東地方--群馬県［上野国］"
ndc9:213.4	"日本史--関東地方--埼玉県［武蔵国］"
ndc9:213.5	"日本史--関東地方--千葉県［上総国．下総国．安房国］"
ndc9:213.6	"日本史--関東地方--東京都"
ndc9:213.7	"日本史--関東地方--神奈川県［相模国］"
ndc9:214	"日本史--北陸地方"
ndc9:214.1	"日本史--北陸地方--新潟県［越後国．佐渡国］"
ndc9:214.2	"日本史--北陸地方--富山県［越中国］"
ndc9:214.3	"日本史--北陸地方--石川県［加賀国．能登国］"
ndc9:214.4	"日本史--北陸地方--福井県［越前国．若狭国］"
ndc9:215	"日本史--中部地方：東山・東海地方"
ndc9:215.1	"日本史--中部地方：東山・東海地方--山梨県［甲斐国］"
ndc9:215.2	"日本史--中部地方：東山・東海地方--長野県［信濃国］"
ndc9:215.3	"日本史--中部地方：東山・東海地方--岐阜県［飛騨国．美濃国］"
ndc9:215.4	"日本史--中部地方：東山・東海地方--静岡県［伊豆国．駿河国．遠江国］"
ndc9:215.5	"日本史--中部地方：東山・東海地方--愛知県［尾張国．三河国］"
ndc9:215.6	"日本史--中部地方：東山・東海地方--三重県［伊勢国．伊賀国．志摩国］"
ndc9:216	"日本史--近畿地方"
ndc9:216.1	"日本史--近畿地方--滋賀県［近江国］"
ndc9:216.2	"日本史--近畿地方--京都府［山城国．丹波国．丹後国］"
ndc9:216.3	"日本史--近畿地方--大阪府［和泉国．河内国．摂津国］"
ndc9:216.4	"日本史--近畿地方--兵庫県［播磨国．但馬国．淡路国．西摂．西丹］"
ndc9:216.5	"日本史--近畿地方--奈良県［大和国］"
ndc9:216.6	"日本史--近畿地方--和歌山県［紀伊国］"
ndc9:217	"日本史--中国地方"
ndc9:217.1	"日本史--中国地方--山陰地方"
ndc9:217.2	"日本史--中国地方--鳥取県［因幡国．伯耆国］"
ndc9:217.3	"日本史--中国地方--島根県［出雲国．石見国．隠岐国］"
ndc9:217.4	"日本史--中国地方--山陽地方"
ndc9:217.5	"日本史--中国地方--岡山県［備前国．備中国．美作国］"
ndc9:217.6	"日本史--中国地方--広島県［安芸国．備後国］"
ndc9:217.7	"日本史--中国地方--山口県［周防国．長門国］"
ndc9:218	"日本史--四国地方"
ndc9:218.1	"日本史--四国地方--徳島県［阿波国］"
ndc9:218.2	"日本史--四国地方--香川県［讃岐国］"
ndc9:218.3	"日本史--四国地方--愛媛県［伊予国］"
ndc9:218.4	"日本史--四国地方--高知県［土佐国］"
ndc9:219	"日本史--九州地方"
ndc9:219.1	"日本史--九州地方--福岡県［筑前国．筑後国．豊前国］"
ndc9:219.2	"日本史--九州地方--佐賀県［肥前国］"
ndc9:219.3	"日本史--九州地方--長崎県［壱岐国．対馬国．西肥］"
ndc9:219.4	"日本史--九州地方--熊本県［肥後国］"
ndc9:219.5	"日本史--九州地方--大分県［豊後国．北豊］"
ndc9:219.6	"日本史--九州地方--宮崎県［日向国］"
ndc9:219.7	"日本史--九州地方--鹿児島県［薩摩国．大隅国］"
ndc9:219.9	"日本史--九州地方--沖繩県［琉球国］"
ndc9:22	"アジア史．東洋史（綱目）"
ndc9:220	"アジア史．東洋史"
ndc9:220.6	"アジア史．東洋史--19世紀"
ndc9:220.7	"アジア史．東洋史--20世紀―"
ndc9:221	"アジア史．東洋史--朝鮮"
ndc9:221.1	"アジア史．東洋史--朝鮮--関北地方：咸鏡道，両江道"
ndc9:221.2	"アジア史．東洋史--朝鮮--西北地方：平安道，慈江道"
ndc9:221.3	"アジア史．東洋史--朝鮮--黄海道"
ndc9:221.4	"アジア史．東洋史--朝鮮--京畿地方：京畿道，ソウル特別市"
ndc9:221.5	"アジア史．東洋史--朝鮮--江原地方：江原道"
ndc9:221.6	"アジア史．東洋史--朝鮮--湖西地方：忠清道"
ndc9:221.7	"アジア史．東洋史--朝鮮--湖南地方：全羅道"
ndc9:221.8	"アジア史．東洋史--朝鮮--嶺南地方：慶尚道"
ndc9:221.9	"アジア史．東洋史--朝鮮--済州島"
ndc9:222	"アジア史．東洋史--中国"
ndc9:222.1	"アジア史．東洋史--中国--華北．黄河流域"
ndc9:222.2	"アジア史．東洋史--中国--華中．長江流域"
ndc9:222.3	"アジア史．東洋史--中国--華南．珠江流域"
ndc9:222.4	"アジア史．東洋史--中国--台湾"
ndc9:222.5	"アジア史．東洋史--中国--東北地区"
ndc9:222.6	"アジア史．東洋史--中国--蒙古：内モンゴル自治区"
ndc9:222.7	"アジア史．東洋史--中国--外蒙古：モンゴル"
ndc9:222.8	"アジア史．東洋史--中国--新疆：ウイグル自治区"
ndc9:222.9	"アジア史．東洋史--中国--チベット"
ndc9:223	"アジア史．東洋史--東南アジア"
ndc9:223.1	"アジア史．東洋史--東南アジア--ベトナム［越南］"
ndc9:223.5	"アジア史．東洋史--東南アジア--カンボジア"
ndc9:223.6	"アジア史．東洋史--東南アジア--ラオス"
ndc9:223.7	"アジア史．東洋史--東南アジア--タイ［シャム］"
ndc9:223.8	"アジア史．東洋史--東南アジア--ミャンマー［ビルマ］"
