ndc9:3	"社会科学（類目）"
ndc9:30	"社会科学（綱目）"
ndc9:300	"社会科学"
ndc9:301	"社会科学--理論．方法論"
ndc9:301.2	"社会科学--理論．方法論--社会科学史"
ndc9:301.6	"社会科学--理論．方法論--社会科学方法論"
ndc9:302	"政治・経済・社会・文化事情"
ndc9:302.1	"政治・経済・社会・文化事情--日本"
ndc9:302.2	"政治・経済・社会・文化事情--アジア．東洋"
ndc9:302.3	"政治・経済・社会・文化事情--ヨーロッパ．西洋"
ndc9:302.4	"政治・経済・社会・文化事情--アフリカ"
ndc9:302.5	"政治・経済・社会・文化事情--北アメリカ"
ndc9:302.6	"政治・経済・社会・文化事情--南アメリカ"
ndc9:302.7	"政治・経済・社会・文化事情--オセアニア．両極地方"
ndc9:303	"社会科学--参考図書［レファレンス ブック］"
ndc9:304	"社会科学--論文集．評論集．講演集"
ndc9:305	"社会科学--逐次刊行物"
ndc9:306	"社会科学--団体：学会，協会，会議"
ndc9:307	"社会科学--研究法．指導法．社会科学教育"
ndc9:307.8	"社会科学--研究法．指導法．社会科学教育--就職試験問題集＜一般＞"
ndc9:308	"社会科学--叢書．全集．選集"
ndc9:309	"社会思想"
ndc9:309.1	"社会思想--自由主義．民主主義"
ndc9:309.2	"社会思想--空想的社会主義"
ndc9:309.3	"社会思想--社会主義．マルクス主義．共産主義"
ndc9:309.4	"社会思想--社会民主主義．社会改良主義．フェビアン社会主義"
ndc9:309.5	"社会思想--サンジカリズム"
ndc9:309.6	"社会思想--国家社会主義"
ndc9:309.7	"社会思想--無政府主義"
ndc9:309.8	"社会思想--全体主義．ファシズム．ナチズム"
ndc9:309.9	"社会思想--国粋主義．ナショナリズム．民族主義"
ndc9:31	"政治（綱目）"
ndc9:310	"政治"
ndc9:310.4	"政治--政治論集．政治評論集．政治演説・講演集"
ndc9:310.7	"（政治--政治教育）"
ndc9:311	"政治学．政治思想"
ndc9:311.1	"政治学．政治思想--政治哲学"
ndc9:311.2	"政治学．政治思想--政治学史．政治思想史"
ndc9:311.3	"政治学．政治思想--国粋主義．ナショナリズム．民族主義"
ndc9:311.4	"政治学．政治思想--保守主義"
ndc9:311.5	"政治学．政治思想--絶対主義"
ndc9:311.6	"政治学．政治思想--立憲君主主義"
ndc9:311.7	"政治学．政治思想--民主主義"
ndc9:311.8	"政治学．政治思想--全体主義．ファシズム"
ndc9:311.9	"政治学．政治思想--社会主義．共産主義"
ndc9:312	"政治史・事情"
ndc9:312.1	"（政治史・事情--民本主義）"
ndc9:312.3	"（政治史・事情--汎ヨーロッパ主義）"
ndc9:312.4	"（政治史・事情--汎アフリカ主義）"
ndc9:312.5	"（政治史・事情--汎アメリカ主義）"
ndc9:312.8	"政治史・事情--政治家＜列伝＞"
ndc9:312.9	"政治史・事情--政治地理．地政学"
ndc9:313	"国家の形態．政治体制"
ndc9:313.1	"国家の形態．政治体制--国家の形態：単一国家，連邦制，国家連合，付庸国"
ndc9:313.2	"国家の形態．政治体制--国家の歴史：原始国家，古代国家，中世国家"
ndc9:313.4	"国家の形態．政治体制--貴族政治"
ndc9:313.5	"国家の形態．政治体制--封建制"
ndc9:313.6	"国家の形態．政治体制--君主制．絶対君主制．立憲君主制"
ndc9:313.7	"国家の形態．政治体制--民主制：共和制，議会政治"
ndc9:313.8	"国家の形態．政治体制--独裁政治．ファシスト国家"
ndc9:313.9	"国家の形態．政治体制--社会主義国家．ソビエト国家"
ndc9:314	"議会"
ndc9:314.1	"議会--日本国の議会：帝国議会，国会"
ndc9:314.8	"議会--選挙．選挙制度"
ndc9:314.9	"議会--直接参政制度［直接民主制］：イニシアチーブ，リコール，レファレンダム"
ndc9:315	"政党．政治結社"
ndc9:315.1	"（政党．政治結社--無産政党）"
ndc9:316	"国家と個人・宗教・民族"
ndc9:316.1	"国家と個人・宗教・民族--国家と個人：基本的人権，自由と平等，知る権利，プライバシー，思想・信教の自由，言論・出版の自由，集会・結社の自由"
ndc9:316.2	"国家と個人・宗教・民族--国家と宗教"
ndc9:316.4	"国家と個人・宗教・民族--政治闘争：テロリズム，政治ストライキ，ボイコット"
ndc9:316.5	"国家と個人・宗教・民族--革命．反革命"
ndc9:316.8	"国家と個人・宗教・民族--民族・人種問題．民族運動．民族政策"
ndc9:317	"行政"
ndc9:317.1	"行政--行政学．行政管理"
ndc9:317.2	"行政--行政組織．行政機構"
ndc9:317.3	"行政--公務員．国家公務員．人事行政"
ndc9:317.4	"行政--国家試験"
ndc9:317.5	"行政--栄典制度：位階，勲章，褒章，国葬"
ndc9:317.6	"行政--行政事務．行政能率．行政監察．情報公開．オンブズマン．公文書"
ndc9:317.7	"行政--警察．公安"
ndc9:317.8	"行政--植民地行政"
ndc9:317.9	"行政--外国の中央行政"
ndc9:318	"地方自治．地方行政"
ndc9:318.1	"地方自治．地方行政--地方制度"
ndc9:318.2	"地方自治．地方行政--地方行政史・事情"
ndc9:318.3	"地方自治．地方行政--地方公務員．人事行政"
ndc9:318.4	"地方自治．地方行政--地方議会．地方選挙"
ndc9:318.5	"地方自治．地方行政--地方行政事務・公報・文書・改善・監査．情報公開．オンブズマン"
ndc9:318.6	"地方自治．地方行政--地方開発行政"
ndc9:318.7	"地方自治．地方行政--都市問題．都市政策"
ndc9:318.8	"地方自治．地方行政--住民運動．民間自治組織［自治会］"
ndc9:318.9	"地方自治．地方行政--外国の地方行政"
ndc9:319	"外交．国際問題"
ndc9:319.1	"（外交．国際問題--排日運動）"
ndc9:319.2	"（外交．国際問題--アジア問題，極東問題）"
ndc9:319.3	"（外交．国際問題--欧州統合）"
ndc9:319.4	"（外交．国際問題--汎アフリカ主義）"
ndc9:319.5	"（外交．国際問題--汎米主義）"
ndc9:319.7	"（外交．国際問題--太平洋問題）"
ndc9:319.8	"外交．国際問題--戦争と平和"
ndc9:319.9	"外交．国際問題--国際連合．国際連盟．国際会議"
ndc9:32	"法律（綱目）"
ndc9:320	"法律"
ndc9:320.7	"（法律--英語 (法律用)，スペイン語 (法律用)，朝鮮語 (法律用)，中国語 (法律用)，ドイツ語 (法律用)，フランス語 (法律用)，タガログ語 (法律用)，タイ語 (法律用)，ベンガル語 (法律用)，ベトナム語 (法律用)，クメール語 (法律用)，ペルシャ語 (法律用)，ロシア語 (法律用)，ウルドゥ語 (法律用)，ビルマ語 (法律用)，インドネシア語 (法律用)，イタリア語 (法律用)，ポルトガル語 (法律用)，ラテン語 (法律用)，パンジャブ語 (法律用)，シンハラ語 (法律用)，ヒンディー語 (法律用)，トルコ語 (法律用)，法教育，スウェーデン語 (法律用)，モンゴル諸語 (法律用)，日本語 (法律用)，法律文書）"
ndc9:320.9	"法律--法令集"
ndc9:321	"法学"
ndc9:321.1	"法学--法哲学［法理学］．自然法学"
ndc9:321.2	"法学--法学史．法思想史"
ndc9:321.3	"法学--法社会学"
ndc9:321.4	"法学--法心理学"
ndc9:321.9	"法学--比較法学"
ndc9:322	"法制史"
ndc9:322.1	"法制史--日本法制史"
ndc9:322.2	"法制史--東洋法制史"
ndc9:322.3	"法制史--西洋法制史"
ndc9:322.4	"法制史--アフリカ"
ndc9:322.5	"法制史--北アメリカ"
ndc9:322.6	"法制史--南アメリカ"
ndc9:322.7	"法制史--オセアニア"
ndc9:322.8	"法制史--法律家：法律学者，法曹界＜列伝＞"
ndc9:322.9	"法制史--外国法"
ndc9:323	"憲法"
ndc9:323.1	"憲法--日本の憲法"
ndc9:323.9	"憲法--行政法"
ndc9:324	"民法"
ndc9:324.1	"民法--民法総則"
ndc9:324.2	"民法--物権法．財産法"
ndc9:324.3	"民法--担保物権法"
ndc9:324.4	"民法--債権法．債権総論"
ndc9:324.5	"民法--債権各論"
ndc9:324.6	"民法--親族法．家族法．身分法"
ndc9:324.7	"民法--相続法"
ndc9:324.8	"民法--民事特別法"
ndc9:324.9	"民法--外国の民法"
ndc9:325	"商法"
ndc9:325.1	"商法--商法総則"
ndc9:325.2	"商法--会社法"
ndc9:325.3	"商法--商行為法"
ndc9:325.4	"商法--保険法"
ndc9:325.5	"商法--海商法．海法"
ndc9:325.6	"商法--有価証券法"
ndc9:325.8	"商法--商事特別法"
ndc9:325.9	"商法--外国の商法"
ndc9:326	"刑法．刑事法"
ndc9:326.1	"刑法．刑事法--刑法総論．犯罪理論．行為論．限時法"
ndc9:326.2	"刑法．刑事法--刑法各論．犯罪の類型"
ndc9:326.3	"刑法．刑事法--刑事政策．犯罪学"
ndc9:326.4	"刑法．刑事法--刑罰：刑の量定，減刑，刑期"
ndc9:326.5	"刑法．刑事法--行刑．矯正"
ndc9:326.7	"刑法．刑事法--法医学．裁判医学"
ndc9:326.8	"刑法．刑事法--刑事特別法"
ndc9:326.9	"刑法．刑事法--外国の刑法"
ndc9:327	"司法．訴訟手続法"
ndc9:327.1	"司法．訴訟手続法--司法制度．司法行政［法務］"
ndc9:327.2	"司法．訴訟手続法--民事訴訟法"
ndc9:327.3	"司法．訴訟手続法--強制執行法"
ndc9:327.4	"司法．訴訟手続法--家事審判法．人事訴訟．人事調停"
ndc9:327.5	"司法．訴訟手続法--民事調停法：調停制度"
ndc9:327.6	"司法．訴訟手続法--刑事訴訟法"
ndc9:327.7	"司法．訴訟手続法--人権擁護"
ndc9:327.8	"司法．訴訟手続法--少年法．少年審判法．非行少年．少年犯罪"
ndc9:327.9	"司法．訴訟手続法--外国の司法制度・訴訟制度"
ndc9:328	"諸法"
ndc9:328.1	"諸法--経済産業法：経済統制，企業，金融，財政，商業"
ndc9:328.2	"諸法--農林水産法"
ndc9:328.3	"諸法--鉱工業法．建設法．公害法"
ndc9:328.4	"諸法--交通・通信法"
ndc9:328.5	"諸法--無体財産法"
ndc9:328.6	"諸法--労働法"
ndc9:328.7	"諸法--社会・厚生法：社会福祉・保険，医事衛生，薬事"
ndc9:328.8	"諸法--文化・教育法：宗教，教育，出版，新聞，興業，文化財"
ndc9:328.9	"諸法--国防法"
ndc9:329	"国際法"
ndc9:329.1	"国際法--国際法の主体．国家．国際人格法"
ndc9:329.2	"国際法--国際法の客体．人．領域．公海．国際管轄法"
ndc9:329.3	"国際法--国際団体法．国際機関法"
ndc9:329.4	"国際法--国際条約"
ndc9:329.5	"国際法--国際紛争の処理：交渉，周旋，仲介，調停"
ndc9:329.6	"国際法--戦時国際法．戦争法"
ndc9:329.7	"国際法--国際刑法．国際警察"
ndc9:329.8	"国際法--国際私法"
ndc9:329.9	"国際法--国籍法．外国人法"
ndc9:33	"経済（綱目）"
ndc9:330	"経済"
ndc9:330.6	"経済--団体：学会，協会，会議"
ndc9:330.7	"（経済--経済教育，英語 (経済用)，スペイン語 (経済用)）"
ndc9:331	"経済学．経済思想"
ndc9:331.1	"経済学．経済思想--経済哲学"
ndc9:331.2	"経済学．経済思想--経済学説史．経済思想史"
ndc9:331.3	"経済学．経済思想--古典学派前史"
ndc9:331.4	"経済学．経済思想--古典学派［正統学派］"
ndc9:331.5	"経済学．経済思想--歴史学派"
ndc9:331.6	"経済学．経済思想--社会主義学派．マルクス経済学派"
ndc9:331.7	"経済学．経済思想--近代経済学派．近代理論"
ndc9:331.8	"経済学．経済思想--経済各論"
ndc9:332	"経済史・事情．経済体制"
ndc9:332.1	"経済史・事情．経済体制--日本経済史・事情"
ndc9:332.3	"（経済史・事情．経済体制--マルク共同体）"
ndc9:332.8	"経済史・事情．経済体制--経済人．実業家．財界人＜列伝＞"
ndc9:332.9	"経済史・事情．経済体制--経済地理"
ndc9:333	"経済政策．国際経済"
ndc9:333.1	"経済政策．国際経済--経済計画．計画経済"
ndc9:333.2	"経済政策．国際経済--統制経済．管理経済"
ndc9:333.3	"経済政策．国際経済--戦争経済：戦時経済，賠償，戦債"
ndc9:333.4	"経済政策．国際経済--アウタルキー［自給自足経済］"
ndc9:333.5	"経済政策．国際経済--国土計画．地域計画［総合開発］"
ndc9:333.6	"経済政策．国際経済--国際経済"
ndc9:333.7	"経済政策．国際経済--経済統合．経済ブロック"
ndc9:333.8	"経済政策．国際経済--経済協力．経済援助"
ndc9:333.9	"経済政策．国際経済--貿易"
ndc9:334	"人口．土地．資源"
