ndc9:4	"自然科学（類目）"
ndc9:40	"自然科学（綱目）"
ndc9:400	"自然科学"
ndc9:401	"科学理論．科学哲学"
ndc9:401.6	"科学理論．科学哲学--自然弁証法"
ndc9:402	"科学史・事情"
ndc9:402.1	"科学史・事情--日本科学史"
ndc9:402.8	"科学史・事情--科学者＜列伝＞"
ndc9:402.9	"科学史・事情--科学探検・調査"
ndc9:403	"自然科学--参考図書［レファレンス ブック］"
ndc9:404	"自然科学--論文集．評論集．講演集"
ndc9:405	"自然科学--逐次刊行物"
ndc9:406	"自然科学--団体：学会，協会，会議"
ndc9:406.9	"自然科学--団体：学会，協会，会議--科学博物館"
ndc9:407	"自然科学--研究法．指導法．科学教育"
ndc9:407.5	"（研究法．指導法．科学教育--実験，実験機械・器具，実験室）"
ndc9:407.6	"（自然科学--研究法．指導法．科学教育--研究所）"
ndc9:408	"自然科学--叢書．全集．選集"
ndc9:409	"科学技術政策．科学技術行政"
ndc9:41	"数学（綱目）"
ndc9:410	"数学"
ndc9:410.1	"数学--数理哲学"
ndc9:410.2	"（数学--数学史）"
ndc9:410.3	"数学--参考図書［レファレンス ブック］"
ndc9:410.7	"数学--研究法．指導法．数学教育"
ndc9:410.9	"数学--集合論．数学基礎論"
ndc9:411	"代数学"
ndc9:411.1	"代数学--算術［算数］"
ndc9:411.2	"代数学--初等代数学"
ndc9:411.3	"代数学--線型代数学"
ndc9:411.4	"代数学--方程式論"
ndc9:411.5	"代数学--形式論：一次形式，二次形式，エルミート形式"
ndc9:411.6	"代数学--現代代数学．抽象代数学．群論"
ndc9:411.7	"代数学--環と体"
ndc9:411.8	"代数学--代数幾何学：代数多様体"
ndc9:412	"数論［整数論］"
ndc9:412.1	"数論［整数論］--初等整数論"
ndc9:412.2	"数論［整数論］--代数的整数論：フェルマーの問題，類体論"
ndc9:412.3	"数論［整数論］--解析的整数論：虚数乗法論"
ndc9:412.4	"数論［整数論］--ディオファントス解析"
ndc9:412.5	"数論［整数論］--連分数"
ndc9:412.6	"数論［整数論］--実数論"
ndc9:412.7	"数論［整数論］--超越数"
ndc9:413	"解析学"
ndc9:413.1	"解析学--解析学の一般的基礎．極限論"
ndc9:413.2	"解析学--級数論：テイラー級数"
ndc9:413.3	"解析学--微積分学．微分学"
ndc9:413.4	"解析学--積分論．ルベーグ積分"
ndc9:413.5	"解析学--関数論．解析的多様体：ベータ関数，ゼータ関数"
ndc9:413.6	"解析学--微分方程式"
ndc9:413.7	"解析学--積分方程式"
ndc9:413.8	"解析学--定差法．差分方程式"
ndc9:413.9	"解析学--変分法"
ndc9:414	"幾何学"
ndc9:414.1	"幾何学--初等幾何学［総合幾何学］"
ndc9:414.2	"幾何学--球面幾何学"
ndc9:414.3	"幾何学--三角法"
ndc9:414.4	"幾何学--射影幾何学［近世総合幾何学］"
ndc9:414.5	"幾何学--解析幾何学［座標幾何学］"
ndc9:414.6	"幾何学--画法幾何学［図学］"
ndc9:414.7	"幾何学--微分幾何学"
ndc9:414.8	"幾何学--非ユークリッド幾何学"
ndc9:415	"位相数学"
ndc9:415.2	"位相数学--抽象空間論：位相空間論，次元論"
ndc9:415.3	"位相数学--測度論"
ndc9:415.5	"位相数学--位相解析．関数解析"
ndc9:415.6	"位相数学--超関数論．一般関数論"
ndc9:415.7	"位相数学--位相幾何学［トポロジー］"
ndc9:417	"確率論．数理統計学"
ndc9:417.1	"確率論．数理統計学--確率論：マルコフ過程"
ndc9:417.2	"確率論．数理統計学--ゲームの理論"
ndc9:417.6	"確率論．数理統計学--推計学．標本分布論：時系列"
ndc9:417.7	"確率論．数理統計学--実験計画法"
ndc9:417.8	"確率論．数理統計学--誤差論．最小自乗法"
ndc9:418	"計算法"
ndc9:418.1	"計算法--近似計算［数値計算］"
ndc9:418.2	"計算法--補間法［内挿法］"
ndc9:418.4	"計算法--計算表：関数表，対数表"
ndc9:418.5	"計算法--図式計算．計算図表"
ndc9:418.6	"計算法--器械計算．計算器"
ndc9:418.7	"計算法--計算尺"
ndc9:418.9	"計算法--そろばん．珠算"
ndc9:419	"和算．中国算法"
ndc9:419.1	"和算．中国算法--和算：天元術，点竄術，円理，算額"
ndc9:419.2	"和算．中国算法--中国算法"
ndc9:419.9	"和算．中国算法--珠算"
ndc9:42	"物理学（綱目）"
ndc9:420	"物理学"
ndc9:420.7	"物理学--研究法．指導法．物理学教育"
ndc9:421	"理論物理学"
ndc9:421.1	"理論物理学--基礎理論．エーテル理論"
ndc9:421.2	"理論物理学--相対性理論"
ndc9:421.3	"理論物理学--量子力学．量子論"
ndc9:421.4	"理論物理学--統計力学"
ndc9:421.5	"理論物理学--数理物理学．物理数学"
ndc9:423	"力学"
ndc9:423.1	"力学--理論的・数理的運動学．運動の幾何学"
ndc9:423.3	"力学--静力学：力，平衡，モーメント，引力"
ndc9:423.4	"力学--動力学：力学的エネルギー"
ndc9:423.5	"力学--仕事．摩擦．質量．抵抗"
ndc9:423.6	"力学--重力．振り子．落体．万有引力"
ndc9:423.7	"力学--弾性体力学．塑性力学"
ndc9:423.8	"力学--流体力学．液体力学"
ndc9:423.9	"力学--力学の応用．機械"
ndc9:424	"振動学．音響学"
ndc9:424.2	"振動学．音響学--音響測定．振動測定"
ndc9:424.3	"振動学．音響学--物体の振動．発音体：音波，弾性波"
ndc9:424.4	"振動学．音響学--振動の伝播"
ndc9:424.5	"振動学．音響学--超音波"
ndc9:424.6	"振動学．音響学--楽音．音響感覚"
ndc9:424.8	"振動学．音響学--生理音響学"
ndc9:424.9	"振動学．音響学--応用音響学"
ndc9:425	"光学"
ndc9:425.1	"光学--光の理論：粒子説，波動説，電磁説，量子説"
ndc9:425.2	"光学--測光"
ndc9:425.3	"光学--幾何光学：光の直進，影，反射，屈折"
ndc9:425.4	"光学--物理光学．波動光学"
ndc9:425.5	"光学--分光学．スペクトル：赤外線，紫外線，X線"
ndc9:425.6	"光学--ルミネッセンス．蛍光．燐光．蛍光とそのスペクトル．燐光とそのスペクトル"
ndc9:425.7	"光学--色．色彩学"
ndc9:425.8	"光学--生理光学"
ndc9:425.9	"光学--応用光学．光学機器"
ndc9:426	"熱学"
ndc9:426.1	"熱学--熱の一般理論"
ndc9:426.2	"熱学--温度・熱量測定．比熱"
ndc9:426.3	"熱学--熱伝導．熱交換．熱放射．対流"
ndc9:426.4	"熱学--熱による状態変化"
ndc9:426.5	"熱学--熱力学"
ndc9:426.7	"熱学--低温物理学．極低温"
ndc9:426.8	"熱学--高温物理学"
ndc9:426.9	"熱学--応用熱学"
ndc9:427	"電磁気学"
ndc9:427.1	"電磁気学--電磁気の理論：陰電気，電子，陽電気"
ndc9:427.2	"電磁気学--電気磁気測定"
ndc9:427.3	"電磁気学--静電気学：電荷，誘電体，パイロ電気，ピエゾ電気"
ndc9:427.4	"電磁気学--動電気学．電気力学：電流，熱電気，界面動電現象"
ndc9:427.5	"電磁気学--電子とイオンの現象．放電．放射線"
ndc9:427.6	"電磁気学--電磁流体力学"
ndc9:427.7	"電磁気学--電気振動．電磁波"
ndc9:427.8	"電磁気学--磁気学：磁化現象，磁気共鳴"
ndc9:427.9	"電磁気学--地磁気"
ndc9:428	"物性物理学"
ndc9:428.1	"物性物理学--分子論．分子物理学．高分子物理学"
ndc9:428.2	"物性物理学--気体論．気体の分子運動論"
ndc9:428.3	"物性物理学--液体論．レオロジー．溶液論"
ndc9:428.4	"物性物理学--固体論：電子論，原子論"
ndc9:428.8	"物性物理学--誘電体．半導体"
ndc9:428.9	"物性物理学--磁性体．強磁体．磁石"
ndc9:429	"原子物理学"
ndc9:429.1	"原子物理学--原子の理論．原子模型"
ndc9:429.2	"原子物理学--実験装置・測定．計数管．粒子加速器"
ndc9:429.4	"原子物理学--放射能"
ndc9:429.5	"原子物理学--原子核．核エネルギー．核模型"
ndc9:429.6	"原子物理学--素粒子"
ndc9:43	"化学（綱目）"
ndc9:430	"化学"
ndc9:430.2	"（化学--錬金術）"
ndc9:430.7	"（化学--化学計算，計算法＞化学計算法）"
ndc9:431	"物理化学．理論化学"
ndc9:431.1	"物理化学．理論化学--化学構造．分子構造"
