ndc9:5	"技術．工学（類目）"
ndc9:50	"技術．工学（綱目）"
ndc9:500	"技術．工学"
ndc9:501	"工業基礎学"
ndc9:501.1	"工業基礎学--工業数学［応用数学］"
ndc9:501.2	"工業基礎学--工業物理学［応用物理学］"
ndc9:501.3	"工業基礎学--応用力学"
ndc9:501.4	"工業基礎学--工業材料．材料科学"
ndc9:501.5	"工業基礎学--材料試験・試験機"
ndc9:501.6	"工業基礎学--工業動力．エネルギー"
ndc9:501.8	"工業基礎学--工業デザイン．計装．製図．人間工学"
ndc9:501.9	"工業基礎学--オートメーション．自動制御工学"
ndc9:502	"技術史．工学史"
ndc9:502.8	"（技術史．工学史--技術者）"
ndc9:503	"技術．工学--参考図書［レファレンス ブック］"
ndc9:503.5	"（技術．工学--参考図書［レファレンス ブック］--工場名簿）"
ndc9:504	"技術．工学--論文集．評論集．講演集"
ndc9:505	"技術．工学--逐次刊行物"
ndc9:506	"技術．工学--団体：学会，協会，会議"
ndc9:507	"技術．工学--研究法．指導法．技術教育"
ndc9:507.1	"技術．工学--研究法．指導法．技術教育--特許．発明．考案"
ndc9:507.2	"技術．工学--研究法．指導法．技術教育--工業所有権"
ndc9:507.3	"技術．工学--研究法．指導法．技術教育--技術士"
ndc9:507.6	"技術．工学--研究法．指導法．技術教育--研究・実験施設"
ndc9:507.7	"技術．工学--研究法．指導法．技術教育--研究法．教育法．技術教育．工業教育"
ndc9:507.9	"技術．工学--研究法．指導法．技術教育--科学玩具．模型工作"
ndc9:508	"技術．工学--叢書．全集．選集"
ndc9:509	"工業．工業経済"
ndc9:509.1	"工業．工業経済--工業政策．工業行政・法令"
ndc9:509.2	"工業．工業経済--工業史・事情"
ndc9:509.3	"工業．工業経済--工業金融．工業資金．設備資金"
ndc9:509.4	"工業．工業経済--経営形態"
ndc9:509.5	"工業．工業経済--工業経営．工場経営"
ndc9:509.6	"工業．工業経済--生産管理．生産工学．管理工学"
ndc9:509.7	"工業．工業経済--人事管理"
ndc9:509.8	"工業．工業経済--工業災害．労働災害．工場安全"
ndc9:51	"建設工学．土木工学（綱目）"
ndc9:510	"建設工学．土木工学"
ndc9:510.9	"建設工学．土木工学--建設工業．土木事業"
ndc9:511	"土木力学．建設材料"
ndc9:511.2	"土木力学．建設材料--土木地質学．地質工学"
ndc9:511.3	"土木力学．建設材料--土質力学．土質工学"
ndc9:511.4	"土木力学．建設材料--建設材料．土木材料"
ndc9:511.5	"土木力学．建設材料--石構造：煉瓦積工，石積工"
ndc9:511.6	"土木力学．建設材料--木構造"
ndc9:511.7	"土木力学．建設材料--コンクリート．コンクリート工学"
ndc9:512	"測量"
ndc9:512.1	"測量--距離測量：チェーン測量，略測量"
ndc9:512.2	"測量--平板測量"
ndc9:512.3	"測量--コンパス測量"
ndc9:512.4	"測量--トランシット測量"
ndc9:512.5	"測量--水準測量．高低測量"
ndc9:512.6	"測量--三角測量"
ndc9:512.7	"測量--航空測量．写真測量"
ndc9:512.8	"測量--面積と体積の計算法．曲線設定．製図"
ndc9:513	"土木設計・施工法"
ndc9:513.1	"土木設計・施工法--土木設計．土木計算．土木製図"
ndc9:513.3	"土木設計・施工法--土工：切土，盛土，地均，法面保護工，地盤改良工法"
ndc9:513.4	"土木設計・施工法--基礎工"
ndc9:513.6	"土木設計・施工法--伏樋．下水渠．溝"
ndc9:513.7	"土木設計・施工法--擁壁工．アーチ工"
ndc9:513.8	"土木設計・施工法--建設機械．土木機械"
ndc9:514	"道路工学"
ndc9:514.1	"道路工学--道路設計・計画"
ndc9:514.2	"道路工学--道路の構造・材料・施工法"
ndc9:514.3	"道路工学--砂利道．砕石道．マカダム道"
ndc9:514.4	"道路工学--道路の舗装．舗装工学"
ndc9:514.6	"道路工学--高速道路．自動車専用路"
ndc9:514.7	"道路工学--地下道．高架道路［歩道橋］"
ndc9:514.8	"道路工学--道路の維持・管理"
ndc9:514.9	"道路工学--トンネル工学．隧道"
ndc9:515	"橋梁工学"
ndc9:515.1	"橋梁工学--橋梁力学．設計．材料．計算．製図"
ndc9:515.2	"橋梁工学--基礎工．橋台．橋脚"
ndc9:515.3	"橋梁工学--上部構造：主ケタ，主構，床組，対風構，橋床，高欄，支承"
ndc9:515.4	"橋梁工学--上部構造の主材による橋梁"
ndc9:515.5	"橋梁工学--構造形式による各種の橋梁"
ndc9:515.7	"橋梁工学--用途による各種の橋梁"
ndc9:515.8	"橋梁工学--橋梁の維持・管理"
ndc9:516	"鉄道工学"
ndc9:516.1	"鉄道工学--線路選定・建設"
ndc9:516.2	"鉄道工学--軌道力学．軌道構造・材料"
ndc9:516.3	"鉄道工学--分岐器：転轍機，轍叉"
ndc9:516.4	"鉄道工学--保線．保線作業"
ndc9:516.5	"鉄道工学--鉄道停車場"
ndc9:516.6	"鉄道工学--鉄道信号．保安装置"
ndc9:516.7	"鉄道工学--高速鉄道"
ndc9:516.8	"鉄道工学--特殊構造の鉄道"
ndc9:517	"河海工学．河川工学"
ndc9:517.1	"河海工学．河川工学--水理学：河相論，水位，水量"
ndc9:517.2	"河海工学．河川工学--河川誌．治水誌．調査工事報告"
ndc9:517.3	"河海工学．河川工学--浚渫．埋立．干拓"
ndc9:517.4	"河海工学．河川工学--洪水．水害誌"
ndc9:517.5	"河海工学．河川工学--治水工学．高水工事．砂防工事"
ndc9:517.6	"河海工学．河川工学--運河．河口改良．疏水．低水工事．水利工学"
ndc9:517.7	"河海工学．河川工学--ダム［堰堤］．ダム付帯施設．発電水力"
ndc9:517.8	"河海工学．河川工学--海岸．港湾"
ndc9:517.9	"河海工学．河川工学--空港"
ndc9:518	"衛生工学．都市工学"
ndc9:518.1	"衛生工学．都市工学--上水道．水道工学．水道事業"
ndc9:518.2	"衛生工学．都市工学--下水道．下水工学．都市排水"
ndc9:518.5	"衛生工学．都市工学--都市衛生"
ndc9:518.8	"衛生工学．都市工学--都市計画"
ndc9:519	"公害．環境工学"
ndc9:519.1	"公害．環境工学--公害・環境行政．法令"
ndc9:519.2	"公害．環境工学--公害史・事情"
ndc9:519.3	"公害．環境工学--大気汚染：光化学スモッグ，亜硫酸ガス，煤煙，浮遊粉塵，フロン"
ndc9:519.4	"公害．環境工学--水質汚濁．海洋汚染"
ndc9:519.5	"公害．環境工学--土壌汚染"
ndc9:519.6	"公害．環境工学--騒音．振動"
ndc9:519.7	"公害．環境工学--産業廃棄物"
ndc9:519.8	"公害．環境工学--環境保全．自然保護"
ndc9:519.9	"公害．環境工学--防災科学．防災工学＜一般＞"
ndc9:52	"建築学（綱目）"
ndc9:520	"建築学"
ndc9:520.1	"（建築学--建築美学）"
ndc9:520.2	"（建築学--建築史）"
