ndc9:6	"産業（類目）"
ndc9:60	"産業（綱目）"
ndc9:600	"産業"
ndc9:601	"産業政策・行政．総合開発"
ndc9:602	"産業史・事情．物産誌"
ndc9:602.1	"（産業史・事情．物産誌--国産品，地場産業，産業クラスター）"
ndc9:603	"産業--参考図書［レファレンス ブック］"
ndc9:604	"産業--論文集．評論集．講演集"
ndc9:605	"産業--逐次刊行物"
ndc9:606	"産業--団体：学会，協会，会議"
ndc9:606.9	"産業--団体：学会，協会，会議--博覧会．共進会．見本市．国際見本市"
ndc9:607	"産業--研究法．指導法．産業教育"
ndc9:608	"産業--叢書．全集．選集"
ndc9:609	"度量衡．計量法"
ndc9:61	"農業（綱目）"
ndc9:610	"農業"
ndc9:610.1	"農業--農学．農業技術"
ndc9:610.6	"農業--団体：学会，協会，会議"
ndc9:610.7	"農業--研究法．指導法．農業教育"
ndc9:611	"農業経済"
ndc9:611.1	"農業経済--農業政策・行政・法令．農政学"
ndc9:611.2	"農業経済--農用地．農地．土地制度［農地制度］"
ndc9:611.3	"農業経済--食糧問題．食糧経済"
ndc9:611.4	"農業経済--農産物市場"
ndc9:611.5	"農業経済--農業金融．農業手形"
ndc9:611.6	"農業経済--農業協同組合．農業団体"
ndc9:611.7	"農業経済--農業経営"
ndc9:611.8	"農業経済--農家経済"
ndc9:611.9	"農業経済--農村・農民問題"
ndc9:612	"農業史・事情"
ndc9:612.1	"（農業史・事情--一揆＞百姓一揆，農民一揆，百姓一揆）"
ndc9:612.3	"（農業史・事情--三圃農法）"
ndc9:612.9	"農業史・事情--農業地理"
ndc9:613	"農業基礎学"
ndc9:613.1	"農業基礎学--農業気象学．産業気象"
ndc9:613.2	"農業基礎学--農業物理学"
ndc9:613.3	"農業基礎学--農芸化学"
ndc9:613.4	"農業基礎学--肥料．肥料学"
ndc9:613.5	"農業基礎学--土壌．土壌学"
ndc9:613.6	"農業基礎学--農業生物学"
ndc9:613.7	"農業基礎学--農業植物学"
ndc9:613.8	"農業基礎学--農業動物学"
ndc9:613.9	"農業基礎学--農業廃棄物"
ndc9:614	"農業工学"
ndc9:614.1	"農業工学--農業測量"
ndc9:614.2	"農業工学--農業土木．土地改良"
ndc9:614.3	"農業工学--農業水利．農業用水．灌漑排水"
ndc9:614.4	"農業工学--耕地整理．交換分合"
ndc9:614.5	"農業工学--開墾．干拓．埋立"
ndc9:614.6	"農業工学--農業構造物：農道，水路橋，溜池，サイフォン"
ndc9:614.7	"農業工学--農業建築物：農舎，農民住宅"
ndc9:614.8	"農業工学--農業の機械化．農業用機器．農具"
ndc9:614.9	"農業工学--農村電化"
ndc9:615	"作物栽培．作物学"
ndc9:615.2	"作物栽培．作物学--遺伝．育種．繁殖"
ndc9:615.3	"作物栽培．作物学--組織．方法：作付，連作，輪作，二毛作，三毛作"
ndc9:615.4	"作物栽培．作物学--環境．作物生態学"
ndc9:615.5	"作物栽培．作物学--栽植：整地，施肥，播種，植付，移植"
ndc9:615.6	"作物栽培．作物学--管理：間引，除草，中耕，整枝，灌水"
ndc9:615.7	"作物栽培．作物学--各種の栽培法"
ndc9:615.8	"作物栽培．作物学--病虫害とその防除．作物保護学．農業災害"
ndc9:615.9	"作物栽培．作物学--収納：収穫，貯蔵"
ndc9:616	"農業--食用作物"
ndc9:616.1	"農業--食用作物--禾穀類作物．穀物"
ndc9:616.2	"農業--食用作物--いね．稲作：水稲，陸稲"
ndc9:616.3	"農業--食用作物--こむぎ．麦作．麦類＜一般＞"
ndc9:616.4	"農業--食用作物--おおむぎ．はだかむぎ"
ndc9:616.5	"農業--食用作物--えんばく．ライむぎ"
ndc9:616.6	"農業--食用作物--雑穀"
ndc9:616.7	"農業--食用作物--豆類：だいず，あずき"
ndc9:616.8	"農業--食用作物--いも類：さつまいも，ばれいしょ"
ndc9:616.9	"農業--食用作物--飼肥料作物：飼料作物，緑肥作物"
ndc9:617	"農業--工芸作物"
ndc9:617.1	"農業--工芸作物--糖料作物：さとうきび，てんさい，さとうもろこし"
ndc9:617.2	"農業--工芸作物--澱粉作物：こんにゃく，くず"
ndc9:617.3	"農業--工芸作物--嗜好作物：コーヒー，カカオ"
ndc9:617.4	"農業--工芸作物--茶"
ndc9:617.5	"農業--工芸作物--タバコ"
ndc9:617.6	"農業--工芸作物--香料作物．香辛料作物：とうがらし，こしょう，しそ，にっけい，はっか，ホップ"
ndc9:617.7	"農業--工芸作物--薬用植物：除虫ぎく，サフラン，けし，薬用にんじん"
ndc9:617.8	"農業--工芸作物--染料作物：あい，あかね"
ndc9:617.9	"農業--工芸作物--油料・樹液作物：なたね，ごま，オリーブ，あぶらぎり，ゴム，うるし，はぜ"
ndc9:618	"農業--繊維作物"
ndc9:618.1	"農業--繊維作物--わた．カポック［パンヤ］"
ndc9:618.2	"農業--繊維作物--あさ．あま．からむし［ラミー］．つなそ．ケナフ．いちび．マニラあさ"
ndc9:618.7	"農業--繊維作物--紙料：こうぞ，がんぴ，みつまた"
ndc9:618.8	"農業--繊維作物--いぐさ"
ndc9:618.9	"農業--繊維作物--とう［籐］．こうりやなぎ．へちま"
ndc9:619	"農産物製造・加工"
ndc9:619.1	"農産物製造・加工--共通事項"
ndc9:619.2	"農産物製造・加工--精穀．圧砕穀"
ndc9:619.3	"農産物製造・加工--粉類．製粉"
ndc9:619.6	"農産物製造・加工--大豆・豆類製品：納豆，豆腐，凍豆腐，油皮"
ndc9:619.7	"農産物製造・加工--芋類加工．こんにゃく"
ndc9:619.8	"農産物製造・加工--製茶：緑茶，紅茶，ウーロン茶，包種茶"
ndc9:619.9	"農産物製造・加工--その他の農産加工"
ndc9:62	"園芸（綱目）"
ndc9:620	"園芸"
ndc9:620.7	"（園芸--園芸教育）"
ndc9:621	"園芸経済・行政・経営"
ndc9:621.1	"園芸経済・行政・経営--園芸政策・行政・法令"
ndc9:621.4	"園芸経済・行政・経営--園芸生産物市場および価格"
ndc9:621.7	"園芸経済・行政・経営--園芸業経営"
ndc9:622	"園芸史・事情"
ndc9:623	"園芸植物学．病虫害"
ndc9:624	"温室．温床．園芸用具"
ndc9:625	"果樹園芸"
ndc9:625.1	"〔果樹園芸--共通事項〕"
ndc9:625.2	"果樹園芸--仁果類"
ndc9:625.3	"果樹園芸--柑橘類"
ndc9:625.4	"果樹園芸--かき類"
ndc9:625.5	"果樹園芸--核果類"
ndc9:625.6	"果樹園芸--漿果類"
ndc9:625.7	"果樹園芸--堅果類"
ndc9:625.8	"果樹園芸--熱帯果樹"
ndc9:626	"蔬菜園芸"
ndc9:626.1	"〔蔬菜園芸--共通事項〕"
ndc9:626.2	"蔬菜園芸--果菜類：うり類，なす類，いちご類"
ndc9:626.3	"蔬菜園芸--莢菜類［豆類］"
ndc9:626.4	"蔬菜園芸--根菜類"
ndc9:626.5	"蔬菜園芸--葉菜類"
ndc9:626.6	"蔬菜園芸--花菜類：はなやさい"
ndc9:626.7	"蔬菜園芸--マッシュルーム"
ndc9:626.9	"蔬菜園芸--家庭菜園"
ndc9:627	"花卉園芸［草花］"
ndc9:627.1	"花卉園芸［草花］--共通事項"
ndc9:627.4	"花卉園芸［草花］--一二年草：あさがお，コスモス，ひまわり，ほうせんか"
ndc9:627.5	"花卉園芸［草花］--宿根草．多年草"
ndc9:627.6	"花卉園芸［草花］--球根草：カンナ，すいせん，ダリア，チューリップ，ゆり"
ndc9:627.7	"花卉園芸［草花］--観賞花木"
ndc9:627.8	"花卉園芸［草花］--盆栽．鉢植"
