ndc9:8	"言語（類目）"
ndc9:80	"言語（綱目）"
ndc9:800	"言語"
ndc9:801	"言語学"
ndc9:801.01	"言語学--言語哲学．言語美学"
ndc9:801.019	"言語学--言語統計学．言語数計学"
ndc9:801.02	"言語学--言語学史"
ndc9:801.03	"言語学--言語社会学．社会言語学"
ndc9:801.04	"言語学--言語心理学"
ndc9:801.09	"言語学--比較言語学"
ndc9:801.1	"言語学--音声学．音韻論．文字論"
ndc9:801.2	"言語学--語源学．意味論"
ndc9:801.3	"言語学--辞典編集法．多言語辞典"
ndc9:801.4	"言語学--語彙論：位相"
ndc9:801.5	"言語学--文法論：形態論，構文論［統語論］．言語類型論：孤立語，膠着語，屈折語，抱合語"
ndc9:801.6	"言語学--文章論．文体論．修辞学"
ndc9:801.7	"言語学--翻訳法．解釈法．会話法"
ndc9:801.78	"言語学--翻訳法．解釈法．会話法--会話法"
ndc9:801.8	"言語学--方言学．言語地理学"
ndc9:801.9	"言語学--言語・文字によらない伝達：身振語，手文字，絵文字"
ndc9:801_808	"言語--総記"
ndc9:802	"言語史・事情．言語政策"
ndc9:802.9	"言語史・事情．言語政策--系統不明な古代死語：エトルリア語，シュメール語"
ndc9:803	"言語--参考図書［レファレンス ブック］"
ndc9:804	"言語--論文集．評論集．講演集"
ndc9:805	"言語--逐次刊行物"
ndc9:806	"言語--団体：学会，協会，会議"
ndc9:807	"言語--研究法．指導法．言語教育"
ndc9:807.7	"（研究法．指導法．言語教育--読本）"
ndc9:807.9	"言語--研究法．指導法．言語教育--言語遊戯"
ndc9:808	"言語--叢書．全集．選集"
ndc9:809	"言語生活"
ndc9:809.2	"言語生活--話し方：発声，表情，身振り"
ndc9:809.4	"言語生活--演説法：朗読，式辞，あいさつ，スピーチ，司会"
ndc9:809.5	"言語生活--対談・座談法．インタビュー法"
ndc9:809.6	"言語生活--討論・会議法"
ndc9:809.7	"言語生活--暗号"
ndc9:809.8	"言語生活--速記"
ndc9:809.9	"言語生活--タイピング：タイプライタ，パーソナル コンピュータ，ワード プロセッサ"
ndc9:81	"日本語（綱目）"
ndc9:810	"日本語"
ndc9:810.1	"日本語--理論．国語学"
ndc9:810.12	"日本語--理論．国語学--国語学史"
ndc9:810.2	"日本語--国語史"
ndc9:810.23	"日本語--国語史--古代語"
ndc9:810.24	"日本語--国語史--中世語"
ndc9:810.25	"日本語--国語史--近世語"
ndc9:810.26	"日本語--国語史--現代語"
ndc9:810.29	"日本語--国語史--国語系統論"
ndc9:810.7	"（日本語--国語教育，日本語教育）"
ndc9:810.77	"（日本語--国語教育，日本語教育--日本語学校）"
ndc9:810.9	"日本語--国語政策．国語国字問題＜一般＞．国語調査"
ndc9:810_890	"日本語--各言語"
ndc9:811	"日本語--音声．音韻．文字"
ndc9:811.1	"日本語--音声．音韻．文字--音声．発音．音韻"
ndc9:811.14	"日本語--音声．音韻．文字--音声．発音．音韻--アクセント．イントネーション"
ndc9:811.2	"日本語--音声．音韻．文字--漢字"
ndc9:811.25	"日本語--音声．音韻．文字--漢字--訓点：送り仮名，返り点，ヲコト点"
ndc9:811.27	"日本語--音声．音韻．文字--漢字--常用漢字．当用漢字．略字"
ndc9:811.29	"日本語--音声．音韻．文字--漢字--筆順"
ndc9:811.3	"日本語--音声．音韻．文字--神代文字"
ndc9:811.4	"日本語--音声．音韻．文字--万葉仮名"
ndc9:811.5	"日本語--音声．音韻．文字--仮名文字：いろは歌，五十音図"
ndc9:811.56	"日本語--音声．音韻．文字--仮名文字：いろは歌，五十音図--仮名づかい．送り仮名"
ndc9:811.59	"日本語--音声．音韻．文字--仮名文字：いろは歌，五十音図--外国語・外来語の仮名表記法"
ndc9:811.7	"日本語--音声．音韻．文字--句読点．分かち書き"
ndc9:811.8	"日本語--音声．音韻．文字--ローマ字綴字法"
ndc9:811.9	"日本語--音声．音韻．文字--国字改良"
ndc9:811.92	"日本語--音声．音韻．文字--国字改良--漢字廃止論．漢字制限論"
ndc9:811.95	"日本語--音声．音韻．文字--国字改良--仮名文字専用論．新体カナ"
ndc9:811.98	"日本語--音声．音韻．文字--国字改良--ローマ字国字論"
ndc9:811.99	"日本語--音声．音韻．文字--国字改良--新国字説"
ndc9:812	"日本語--語源．意味"
ndc9:813	"日本語--辞典"
ndc9:813.1	"日本語--辞典--国語辞典"
ndc9:813.19	"日本語--辞典--国語辞典--外国人用国語辞典"
ndc9:813.2	"日本語--辞典--漢和辞典"
ndc9:813.4	"日本語--辞典--故事熟語辞典．慣用語辞典"
ndc9:813.5	"日本語--辞典--類語辞典．同義語辞典．反義語辞典"
ndc9:813.6	"日本語--辞典--古語辞典"
ndc9:813.7	"日本語--辞典--新語辞典．流行語辞典．外来語辞典"
ndc9:813.9	"日本語--辞典--隠語辞典．俗語辞典"
ndc9:814	"日本語--語彙"
ndc9:814.3	"日本語--語彙--基本語彙"
ndc9:814.4	"日本語--語彙--熟語．慣用語"
ndc9:814.5	"日本語--語彙--類語．同義語．反義語．同音語"
ndc9:814.6	"日本語--語彙--古語"
ndc9:814.7	"日本語--語彙--新語．流行語．外来語．略語"
ndc9:814.8	"日本語--語彙--児童語"
ndc9:814.9	"日本語--語彙--隠語．俗語．階級語．女房詞．遊里語"
ndc9:815	"日本語--文法．語法"
ndc9:815.1	"日本語--文法．語法--形態論．構文論［統語論］"
ndc9:815.2	"日本語--文法．語法--名詞．数詞"
ndc9:815.3	"日本語--文法．語法--代名詞"
ndc9:815.4	"日本語--文法．語法--形容詞．形容動詞．連体詞"
ndc9:815.5	"日本語--文法．語法--動詞．助動詞"
ndc9:815.6	"日本語--文法．語法--副詞．接続詞．感動詞"
ndc9:815.7	"日本語--文法．語法--助詞［てにをは］"
ndc9:815.8	"日本語--文法．語法--敬語法"
ndc9:816	"日本語--文章．文体．作文"
ndc9:816.07	"日本語--文章．文体．作文--作文用語・用字辞典"
ndc9:816.2	"日本語--文章．文体．作文--修辞法"
ndc9:816.3	"日本語--文章．文体．作文--枕詞［冠辞］．修飾語"
ndc9:816.4	"日本語--文章．文体．作文--公用文"
ndc9:816.5	"日本語--文章．文体．作文--論文"
ndc9:816.6	"日本語--文章．文体．作文--書簡文．日記文"
ndc9:816.7	"日本語--文章．文体．作文--式辞"
ndc9:816.8	"日本語--文章．文体．作文--文範．文例集"
ndc9:817	"日本語--読本．解釈．会話"
ndc9:817.5	"日本語--読本．解釈．会話--国文解釈"
ndc9:817.7	"日本語--読本．解釈．会話--国語読本"
ndc9:817.8	"日本語--読本．解釈．会話--会話"
ndc9:818	"日本語--方言．訛語"
ndc9:818.99	"（日本語--方言．訛語--沖繩語，琉球語）"
ndc9:82	"中国語（綱目）"
ndc9:820	"中国語"
ndc9:820.7	"（中国語--中国語教育）"
ndc9:820.9	"中国語--中国語政策．中国語問題"
ndc9:821	"中国語--音声．音韻．文字"
ndc9:821.1	"中国語--音声．音韻．文字--音声．発音．音韻：四声"
ndc9:821.2	"中国語--音声．音韻．文字--漢字"
ndc9:821.27	"中国語--音声．音韻．文字--漢字--簡体字．異体字．常用字"
ndc9:821.29	"中国語--音声．音韻．文字--漢字--検字法"
ndc9:821.3	"中国語--音声．音韻．文字--注音符号"
ndc9:821.8	"中国語--音声．音韻．文字--ローマ字表記法"
ndc9:822	"中国語--語源．意味"
ndc9:823	"中国語--辞典"
ndc9:824	"中国語--語彙"
ndc9:825	"中国語--文法．語法"
ndc9:825.1	"中国語--文法．語法--形態論．構文論［統語論］"
ndc9:825.2	"中国語--文法．語法--名詞．数詞．量詞"
ndc9:825.3	"中国語--文法．語法--代名詞"
ndc9:825.4	"中国語--文法．語法--形容詞"
ndc9:825.5	"中国語--文法．語法--動詞"
ndc9:825.6	"中国語--文法．語法--副詞．介詞．連詞．嘆詞"
ndc9:825.7	"中国語--文法．語法--助詞"
ndc9:826	"中国語--文章．文体．作文"
ndc9:827	"中国語--読本．解釈．会話"
ndc9:827.5	"中国語--読本．解釈．会話--中国語解釈．漢文解釈"
ndc9:827.7	"中国語--読本．解釈．会話--中国語読本．漢文読本"
ndc9:827.8	"中国語--読本．解釈．会話--会話"
ndc9:828	"中国語--方言．訛語"
ndc9:828.1	"中国語--方言．訛語--北方語：北京方言"
ndc9:828.2	"中国語--方言．訛語--呉語：上海方言"
ndc9:828.3	"中国語--方言．訛語--びん語：福州方言．厦門方言"
ndc9:828.4	"中国語--方言．訛語--粤語：広州方言"
ndc9:828.5	"中国語--方言．訛語--台湾語"
ndc9:828.6	"中国語--方言．訛語--客家語"
ndc9:829	"その他の東洋の諸言語"
ndc9:829.1	"その他の東洋の諸言語--朝鮮語［韓国語］"
ndc9:829.11	"その他の東洋の諸言語--朝鮮語［韓国語］--音声．音韻．文字"
ndc9:829.12	"その他の東洋の諸言語--朝鮮語［韓国語］--語源．語義．意味"
ndc9:829.13	"その他の東洋の諸言語--朝鮮語［韓国語］--辞典"
