ndc9:9	"文学（類目）"
ndc9:90	"文学（綱目）"
ndc9:900	"文学"
ndc9:901	"文学理論・作法"
ndc9:901.01	"文学理論・作法--文芸学．文学思想"
ndc9:901.1	"文学理論・作法--詩歌．韻律学．作詩法"
ndc9:901.1_.7	"文学理論・作法--文学形式"
ndc9:901.2	"文学理論・作法--戯曲．劇作法"
ndc9:901.27	"文学理論・作法--戯曲．劇作法--シナリオ．放送ドラマ"
ndc9:901.3	"文学理論・作法--小説．物語"
ndc9:901.307	"文学理論・作法--小説．物語--小説作法"
ndc9:901.4	"文学理論・作法--評論．エッセイ．随筆"
ndc9:901.5	"文学理論・作法--日記．書簡．紀行"
ndc9:901.6	"文学理論・作法--記録．手記．ルポルタージュ"
ndc9:901.7	"文学理論・作法--箴言．アフォリズム．寸言"
ndc9:901.8	"文学理論・作法--民間・口承文芸"
ndc9:901.9	"文学理論・作法--比較文学"
ndc9:901_908	"文学--総記"
ndc9:902	"文学史．文学思想史"
ndc9:902.03	"文学史．文学思想史--古代"
ndc9:902.04	"文学史．文学思想史--中世"
ndc9:902.05	"文学史．文学思想史--近代"
ndc9:902.06	"文学史．文学思想史--近代--近代文学思想史：唯美主義，象徴主義，ロマン主義，自然主義"
ndc9:902.09	"文学史．文学思想史--文学に現れた特殊な主題"
ndc9:902.1	"文学史．文学思想史--詩"
ndc9:902.1_.7	"文学史．文学思想史--文学形式"
ndc9:902.2	"文学史．文学思想史--戯曲"
ndc9:902.3	"文学史．文学思想史--小説．物語"
ndc9:902.4	"文学史．文学思想史--評論．エッセイ．随筆"
ndc9:902.5	"文学史．文学思想史--日記．書簡．紀行"
ndc9:902.6	"文学史．文学思想史--記録．手記．ルポルタージュ"
ndc9:902.7	"文学史．文学思想史--箴言．アフォリズム．寸言"
ndc9:902.8	"文学史．文学思想史--作家の列伝［作家研究］"
ndc9:902.9	"文学史．文学思想史--地域別文学研究"
ndc9:903	"文学--参考図書［レファレンス ブック］"
ndc9:904	"文学--論文集．評論集．講演集"
ndc9:905	"文学--逐次刊行物"
ndc9:906	"文学--団体：学会，協会，会議"
ndc9:907	"文学--研究法．指導法．文学教育"
ndc9:908	"文学--叢書．全集．選集"
ndc9:908.1	"文学--叢書．全集．選集--詩"
ndc9:908.18	"文学--叢書．全集．選集--詩--児童詩．童謡"
ndc9:908.1_.7	"文学--叢書．全集．選集--文学形式"
ndc9:908.2	"文学--叢書．全集．選集--戯曲"
ndc9:908.28	"文学--叢書．全集．選集--戯曲--児童劇．童話劇"
ndc9:908.3	"文学--叢書．全集．選集--小説．物語"
